"plant_no","Cno","Cno_val","plant_name.x.x","genus.x.x","family.x.x","long","long_code","long_val","plant_name.y.x","genus.y.x","family.y.x","soil_nutr","soil_nutr_val","plant_name.x","genus.x","family.x","leafP","leafP_val","plant_name.x.y","genus.x.y","family.x.y","leafN","leafN_val","plant_name.y.y","genus.y.y","family.y.y","plant_name.y","genus.y","family.y"
1540120010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","MISOPATES ORONTIUM","MISOPATES","SCROPHULARIACEAE","Soil nutrients","infertile","MISOPATES ORONTIUM","MISOPATES","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISOPATES ORONTIUM","misopates","SCROPHULARIACEAE"
1540130100,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","CHAENORHINUM MINUS","CHAENORHINUM","SCROPHULARIACEAE","Soil nutrients","very fertile","CHAENORHINUM MINUS","CHAENORHINUM","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHAENORHINUM MINUS","chaenorhinum","SCROPHULARIACEAE"
1540140340,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","LINARIA VULGARIS","LINARIA","SCROPHULARIACEAE","Soil nutrients","infertile","LINARIA VULGARIS","LINARIA","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINARIA VULGARIS","linaria","SCROPHULARIACEAE"
1540150050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CYMBALARIA PALLIDA","cymbalaria","SCROPHULARIACEAE"
1540160030,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","KICKXIA ELATINE","KICKXIA","SCROPHULARIACEAE","Soil nutrients","very fertile","KICKXIA ELATINE","KICKXIA","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KICKXIA ELATINE","kickxia","SCROPHULARIACEAE"
1540170020,"2C DNA content (pg)","2.3","DIGITALIS PURPUREA","DIGITALIS","SCROPHULARIACEAE","Longevity of stems (yrs)","5.02","<1","DIGITALIS PURPUREA","DIGITALIS","SCROPHULARIACEAE","Soil nutrients","fertile","DIGITALIS PURPUREA","DIGITALIS","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIGITALIS PURPUREA","digitalis","SCROPHULARIACEAE"
1540180010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","ERINUS ALPINUS","ERINUS","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERINUS ALPINUS","erinus","SCROPHULARIACEAE"
1540210620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","very infertile","VERONICA SPICATA","VERONICA","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VERONICA SPICATA","veronica","SCROPHULARIACEAE"
1540220010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HEBE SALICIFOLIA","hebe","SCROPHULARIACEAE"
1540240010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","very infertile","SIBTHORPIA EUROPAEA","SIBTHORPIA","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SIBTHORPIA EUROPAEA","sibthorpia","SCROPHULARIACEAE"
1540270010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","MELAMPYRUM CRISTATUM","MELAMPYRUM","SCROPHULARIACEAE","Soil nutrients","fertile","MELAMPYRUM CRISTATUM","MELAMPYRUM","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MELAMPYRUM CRISTATUM","melampyrum","SCROPHULARIACEAE"
1540290260,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","EUPHRASIA FOULAENSIS","EUPHRASIA","SCROPHULARIACEAE","Soil nutrients","very infertile","EUPHRASIA FOULAENSIS","EUPHRASIA","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EUPHRASIA FOULAENSIS","euphrasia","SCROPHULARIACEAE"
1540300150,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","ODONTITES VERNUS","ODONTITES","SCROPHULARIACEAE","Soil nutrients","fertile","ODONTITES VERNUS","ODONTITES","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ODONTITES VERNUS","odontites","SCROPHULARIACEAE"
1540310010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","BARTSIA ALPINA","BARTSIA","SCROPHULARIACEAE","Soil nutrients","infertile","BARTSIA ALPINA","BARTSIA","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BARTSIA ALPINA","bartsia","SCROPHULARIACEAE"
